eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 12, 2025","290,966",AE,,131,99,0.76,0,0,0,0,0
"noviembre 13, 2025","290,997",IS,,3,3,1,0,0,0,0,0
"noviembre 17, 2025","290,997",BZ,,1,1,1,0,0,0,0,0
"noviembre 17, 2025","290,564",MX,,"41,038","28,901",0.7,2,455,0,3,2
"noviembre 2, 2025","290,564",BG,,21,17,0.81,0,0,0,0,0
"noviembre 7, 2025","351,212",BR,,"5,679","4,573",0.81,0,0,0,0,0
"noviembre 25, 2025","330,061",LT,,2,2,1,0,0,0,0,0
"noviembre 12, 2025","351,212",CH,,92,79,0.86,0,0,0,0,0
"noviembre 3, 2025","290,564",FI,,10,8,0.8,0,0,0,0,0
"noviembre 13, 2025","351,212",TJ,,1,0,0,0,0,0,0,0
"noviembre 23, 2025","290,997",SG,,"5,337","3,603",0.68,0,0,0,0,0
"noviembre 1, 2025","291,359",AT,,52,29,0.56,0,0,0,0,0
"noviembre 25, 2025","351,212",UY,,379,378,1,0,0,0,0,0
"noviembre 19, 2025","351,212",NG,,1,1,1,0,0,0,0,0
"noviembre 19, 2025","290,997",PE,,493,306,0.62,0,0,0,0,0
"noviembre 24, 2025","291,359",AS,,1,1,1,0,0,0,0,0
"noviembre 26, 2025","351,212",CR,,586,541,0.92,0,0,0,0,0
"noviembre 21, 2025","290,966",IR,,8,0,0,0,0,0,0,0
"noviembre 14, 2025","351,212",CH,,71,59,0.83,0,0,0,0,0
"noviembre 7, 2025","351,212",CU,,5,5,1,0,0,0,0,0
"noviembre 4, 2025","330,061",RO,,8,8,1,0,0,0,0,0
"noviembre 23, 2025","290,564",VN,,5,2,0.4,0,0,0,0,0
"noviembre 15, 2025","291,359",AE,,35,29,0.83,0,0,0,0,0
"noviembre 7, 2025","291,359",AU,,131,104,0.79,0,0,0,0,0
"noviembre 13, 2025","351,212",HR,,4,2,0.5,0,0,0,0,0
"noviembre 22, 2025","290,997",MR,,4,0,0,0,0,0,0,0
"noviembre 5, 2025","290,966",SE,,205,179,0.87,0,0,0,0,0
"noviembre 5, 2025","290,997",CL,,"1,134",863,0.76,0,0,0,0,0
"noviembre 8, 2025","290,564",VE,,71,55,0.77,0,0,0,0,0
"noviembre 1, 2025","290,564",BR,,920,591,0.64,0,0,0,0,0
"noviembre 25, 2025","291,359",PR,,15,13,0.87,0,0,0,0,0
"noviembre 13, 2025","290,997",VI,,1,0,0,0,0,0,0,0
"noviembre 23, 2025","290,564",BG,,61,57,0.93,0,0,0,0,0
"noviembre 8, 2025","290,966",SG,,983,906,0.92,0,0,0,0,0
"noviembre 20, 2025","290,966",HN,,190,38,0.2,0,0,0,0,0
"noviembre 7, 2025","330,061",DO,,49,47,0.96,0,0,0,0,0
"noviembre 19, 2025","290,966",NG,,2,1,0.5,0,0,0,0,0
"noviembre 21, 2025","351,212",US,,"99,040","89,470",0.9,0,0,0,0,0
"noviembre 19, 2025","351,212",MX,,"38,183","32,721",0.86,0,0,0,0,0
"noviembre 13, 2025","330,061",GR,,3,3,1,0,0,0,0,0
"noviembre 5, 2025","330,061",IN,,68,59,0.87,0,0,0,0,0
"noviembre 13, 2025","330,061",TH,,"1,254","1,176",0.94,0,0,0,0,0
"noviembre 26, 2025","351,212",CD,,2,2,1,0,0,0,0,0
"noviembre 14, 2025","290,966",DE,,"1,583","1,067",0.67,0,0,0,0,0
"noviembre 3, 2025","290,966",AU,,13,12,0.92,0,0,0,0,0
"noviembre 8, 2025","351,212",GT,,"1,000",620,0.62,0,0,0,0,0
"noviembre 5, 2025","291,359",UM,,4,4,1,0,0,0,0,0
"noviembre 21, 2025","351,212",MA,,1,0,0,0,0,0,0,0
"noviembre 19, 2025","291,359",PL,,320,201,0.63,0,0,0,0,0
"noviembre 23, 2025","290,966",PH,,12,5,0.42,0,0,0,0,0
"noviembre 14, 2025","290,966",IT,,628,555,0.88,0,0,0,0,0
"noviembre 7, 2025","290,564",DE,,"1,056",713,0.68,0,0,0,0,0
"noviembre 10, 2025","291,359",CY,,10,10,1,0,0,0,0,0
"noviembre 8, 2025","291,359",TT,,9,0,0,0,0,0,0,0
"noviembre 3, 2025","290,997",MA,,3,1,0.33,0,0,0,0,0
"noviembre 6, 2025","290,966",LT,,179,124,0.69,0,0,0,0,0
"noviembre 16, 2025","351,212",NI,,7,7,1,0,0,0,0,0
"noviembre 14, 2025","290,997",SV,,338,119,0.35,0,0,0,0,0
"noviembre 7, 2025","291,359",NP,,1,0,0,0,0,0,0,0
"noviembre 6, 2025","290,997",VC,,1,1,1,0,0,0,0,0
"noviembre 11, 2025","290,997",DO,,149,65,0.44,0,0,0,0,0
"noviembre 12, 2025","290,997",ZA,,18,12,0.67,0,0,0,0,0
"noviembre 26, 2025","330,061",LT,,2,2,1,0,0,0,0,0
"noviembre 1, 2025","290,997",GT,,200,24,0.12,0,0,0,0,0
"noviembre 25, 2025","291,359",LT,,26,20,0.77,0,0,0,0,0
"noviembre 6, 2025","290,997",JP,,199,141,0.71,0,0,0,0,0
"noviembre 1, 2025","290,997",EG,,40,21,0.53,0,0,0,0,0
"noviembre 24, 2025","351,212",SA,,83,58,0.7,0,0,0,0,0
"noviembre 21, 2025","291,359",NZ,,16,11,0.69,0,0,0,0,0
"noviembre 26, 2025","290,997",SM,,42,41,0.98,0,0,0,0,0
"noviembre 10, 2025","330,061",RS,,20,20,1,0,0,0,0,0
"noviembre 10, 2025","290,997",CR,,781,511,0.65,0,0,0,0,0
"noviembre 16, 2025","290,966",GU,,1,1,1,0,0,0,0,0
"noviembre 20, 2025","290,966",ME,,330,283,0.86,0,0,0,0,0
"noviembre 7, 2025","290,966",BR,,"1,796","1,513",0.84,0,0,0,0,0
"noviembre 26, 2025","290,966",SG,,"2,161","1,709",0.79,0,0,0,0,0
"noviembre 6, 2025","291,359",RU,,480,374,0.78,0,0,0,0,0
"noviembre 24, 2025","291,359",BA,,2,2,1,0,0,0,0,0
"noviembre 7, 2025","330,061",MV,,1,1,1,0,0,0,0,0
"noviembre 25, 2025","351,212",FR,,965,869,0.9,0,0,0,0,0
"noviembre 7, 2025","290,564",LB,,2,0,0,0,0,0,0,0
"noviembre 14, 2025","351,212",NI,,25,25,1,0,0,0,0,0
"noviembre 18, 2025","330,061",JO,,21,21,1,0,0,0,0,0
"noviembre 16, 2025","290,564",TR,,124,91,0.73,0,0,0,0,0
"noviembre 22, 2025","291,359",TN,,5,5,1,0,0,0,0,0
"noviembre 22, 2025","351,212",ZA,,12,4,0.33,0,0,0,0,0
"noviembre 4, 2025","291,359",PY,,241,180,0.75,0,0,0,0,0
"noviembre 25, 2025","290,564",PY,,309,284,0.92,0,0,0,0,0
"noviembre 12, 2025","290,966",CR,,578,445,0.77,0,0,0,0,0
"noviembre 18, 2025","290,966",TT,,5,5,1,0,0,0,0,0
"noviembre 25, 2025","351,212",EE,,6,3,0.5,0,0,0,0,0
"noviembre 3, 2025","330,061",CO,,828,821,0.99,0,0,0,0,0
"noviembre 21, 2025","351,212",HU,,6,5,0.83,0,0,0,0,0
"noviembre 8, 2025","290,997",GT,,897,139,0.15,0,0,0,0,0
"noviembre 13, 2025","290,997",SE,,159,63,0.4,0,0,0,0,0
"noviembre 18, 2025","291,359",TN,,13,13,1,0,0,0,0,0
"noviembre 12, 2025","351,212",RU,,429,367,0.86,0,0,0,0,0
"noviembre 19, 2025","290,966",DE,,"1,530","1,279",0.84,0,0,0,0,0
"noviembre 18, 2025","351,212",JP,,52,51,0.98,0,0,0,0,0
"noviembre 5, 2025","290,966",TW,,10,7,0.7,0,0,0,0,0
"noviembre 24, 2025","351,212",HN,,140,112,0.8,0,0,0,0,0
"noviembre 2, 2025","330,061",EE,,7,7,1,0,0,0,0,0
"noviembre 6, 2025","330,061",KZ,,5,5,1,0,0,0,0,0
"noviembre 9, 2025","290,966",HN,,36,27,0.75,0,0,0,0,0
"noviembre 26, 2025","290,564",KZ,,52,26,0.5,0,0,0,0,0
"noviembre 6, 2025","330,061",NI,,22,15,0.68,0,0,0,0,0
"noviembre 16, 2025","330,061",GR,,13,13,1,0,0,0,0,0
"noviembre 21, 2025","290,966",US,,"115,527","86,312",0.75,0,0,0,0,0
"noviembre 23, 2025","330,061",JP,,68,63,0.93,0,0,0,0,0
"noviembre 5, 2025","330,061",TW,,29,24,0.83,0,0,0,0,0
"noviembre 25, 2025","351,212",HN,,145,144,0.99,0,0,0,0,0
"noviembre 2, 2025","330,061",BR,,177,169,0.95,0,0,0,0,0
"noviembre 17, 2025","330,061",CA,,"3,695","3,497",0.95,0,0,0,0,0
"noviembre 17, 2025","290,966",DE,,"1,524","1,335",0.88,0,0,0,0,0
"noviembre 19, 2025","351,212",PH,,39,39,1,0,0,0,0,0
"noviembre 22, 2025","290,997",DZ,,3,0,0,0,0,0,0,0
"noviembre 10, 2025","290,564",BE,,25,25,1,0,0,0,0,0
"noviembre 4, 2025","290,997",KG,,2,2,1,0,0,0,0,0
"noviembre 11, 2025","291,359",CU,,23,3,0.13,0,0,0,0,0
"noviembre 17, 2025","351,212",AE,,101,78,0.77,0,0,0,0,0
"noviembre 11, 2025","291,359",AR,,"2,450","2,238",0.91,0,0,0,0,0
"noviembre 11, 2025","291,359",CN,,"37,902","32,724",0.86,0,0,0,0,0
"noviembre 15, 2025","290,966",RE,,1,1,1,0,0,0,0,0
"noviembre 18, 2025","290,966",FI,,20,19,0.95,0,0,0,0,0
"noviembre 25, 2025","290,997",N/A,,"78,381","55,050",0.7,0,0,0,0,0
"noviembre 5, 2025","330,061",DE,,"1,076",927,0.86,0,0,0,0,0
"noviembre 12, 2025","290,997",IE,,95,65,0.68,0,0,0,0,0
"noviembre 23, 2025","330,061",NO,,21,17,0.81,0,0,0,0,0
"noviembre 21, 2025","291,359",N/A,,"74,516","59,884",0.8,0,0,0,0,0
"noviembre 11, 2025","290,997",OM,,2,2,1,0,0,0,0,0
"noviembre 7, 2025","351,212",NP,,1,0,0,0,0,0,0,0
"noviembre 17, 2025","290,966",NI,,8,8,1,0,0,0,0,0
"noviembre 12, 2025","351,212",LU,,8,0,0,0,0,0,0,0
"noviembre 11, 2025","290,564",ZA,,40,26,0.65,0,0,0,0,0
"noviembre 19, 2025","290,564",PT,,377,365,0.97,0,0,0,0,0
"noviembre 12, 2025","290,966",IE,,123,92,0.75,0,0,0,0,0
"noviembre 18, 2025","290,564",CR,,500,369,0.74,0,0,0,0,0
"noviembre 17, 2025","290,564",KW,,3,3,1,0,0,0,0,0
"noviembre 25, 2025","290,997",BR,,"10,764","6,363",0.59,0,0,0,0,0
"noviembre 10, 2025","351,212",PY,,123,88,0.72,0,0,0,0,0
"noviembre 2, 2025","290,966",SV,,11,9,0.82,0,0,0,0,0
"noviembre 15, 2025","351,212",RS,,3,2,0.67,0,0,0,0,0
"noviembre 24, 2025","330,061",NZ,,4,4,1,0,0,0,0,0
"noviembre 20, 2025","291,359",BZ,,27,27,1,0,0,0,0,0
"noviembre 5, 2025","351,212",IL,,78,67,0.86,0,0,0,0,0
"noviembre 13, 2025","351,212",PL,,319,300,0.94,0,0,0,0,0
"noviembre 19, 2025","290,966",TH,,"26,129","22,082",0.85,0,0,0,0,0
"noviembre 2, 2025","290,966",CH,,51,27,0.53,0,0,0,0,0
"noviembre 19, 2025","290,966",FR,,855,754,0.88,0,0,0,0,0
"noviembre 16, 2025","291,359",IT,,683,605,0.89,0,0,0,0,0
"noviembre 20, 2025","351,212",GB,,"4,198","3,486",0.83,0,0,0,0,0
"noviembre 10, 2025","291,359",GR,,30,20,0.67,0,0,0,0,0
"noviembre 15, 2025","291,359",NZ,,10,8,0.8,0,0,0,0,0
"noviembre 18, 2025","290,997",MX,,"56,572","36,896",0.65,0,0,0,0,0
"noviembre 24, 2025","330,061",RS,,5,5,1,0,0,0,0,0
"noviembre 9, 2025","290,997",NZ,,24,14,0.58,0,0,0,0,0
"noviembre 8, 2025","330,061",ID,,9,9,1,0,0,0,0,0
"noviembre 18, 2025","351,212",GR,,24,23,0.96,0,0,0,0,0
"noviembre 24, 2025","351,212",SK,,3,3,1,0,0,0,0,0
"noviembre 1, 2025","290,997",UM,,4,4,1,0,0,0,0,0
"noviembre 1, 2025","291,359",LU,,4,3,0.75,0,0,0,0,0
"noviembre 23, 2025","290,966",ID,,27,21,0.78,0,0,0,0,0
"noviembre 20, 2025","290,966",SV,,560,382,0.68,0,0,0,0,0
"noviembre 3, 2025","290,966",BG,,62,54,0.87,0,0,0,0,0
"noviembre 3, 2025","290,966",CA,,"2,394","1,963",0.82,0,0,0,0,0
"noviembre 20, 2025","290,966",sv,,1,1,1,0,0,0,0,0
"noviembre 23, 2025","290,966",CR,,282,266,0.94,0,0,0,0,0
"noviembre 21, 2025","290,564",GB,,"5,274","3,308",0.63,0,0,0,0,0
"noviembre 11, 2025","290,997",PH,,9,8,0.89,0,0,0,0,0
"noviembre 26, 2025","290,997",LU,,6,3,0.5,0,0,0,0,0
"noviembre 19, 2025","290,564",N/A,,"72,236","38,040",0.53,0,0,0,0,0
"noviembre 20, 2025","291,359",GB,,"4,552","3,011",0.66,0,0,0,0,0
"noviembre 6, 2025","351,212",MA,,6,6,1,0,0,0,0,0
"noviembre 22, 2025","330,061",IE,,22,20,0.91,0,0,0,0,0
"noviembre 22, 2025","330,061",PE,,43,38,0.88,0,0,0,0,0
"noviembre 24, 2025","290,966",UZ,,119,92,0.77,0,0,0,0,0
"noviembre 11, 2025","351,212",IT,,648,562,0.87,0,0,0,0,0
"noviembre 12, 2025","291,359",PL,,427,317,0.74,0,0,0,0,0
"noviembre 15, 2025","291,359",CH,,119,83,0.7,0,0,0,0,0
"noviembre 13, 2025","291,359",IQ,,1,1,1,0,0,0,0,0
"noviembre 11, 2025","291,359",SY,,1,0,0,0,0,0,0,0
"noviembre 10, 2025","291,359",gt,,2,2,1,0,0,0,0,0
"noviembre 8, 2025","290,997",MX,,"76,820","44,888",0.58,0,0,0,0,0
"noviembre 20, 2025","330,061",IT,,332,283,0.85,0,0,0,0,0
"noviembre 13, 2025","290,966",CO,,"3,264","2,823",0.86,0,0,0,0,0
"noviembre 1, 2025","290,564",GT,,591,112,0.19,0,0,0,0,0
"noviembre 7, 2025","351,212",NI,,54,54,1,0,0,0,0,0
"noviembre 18, 2025","290,564",NO,,57,41,0.72,0,0,0,0,0
"noviembre 24, 2025","290,997",ES,,"85,298","52,530",0.62,0,0,0,0,0
"noviembre 6, 2025","351,212",TR,,297,204,0.69,0,0,0,0,0
"noviembre 4, 2025","290,564",UY,,467,388,0.83,0,0,0,0,0
"noviembre 25, 2025","330,061",ES,,"62,705","25,863",0.41,0,0,0,0,0
"noviembre 12, 2025","330,061",GH,,1,1,1,0,0,0,0,0
"noviembre 8, 2025","290,966",NG,,29,29,1,0,0,0,0,0
"noviembre 3, 2025","291,359",TT,,47,47,1,0,0,0,0,0
"noviembre 5, 2025","291,359",GB,,"3,983","2,224",0.56,0,0,0,0,0
"noviembre 20, 2025","330,061",CH,,82,73,0.89,0,0,0,0,0
"noviembre 14, 2025","351,212",MA,,2,2,1,0,0,0,0,0
"noviembre 4, 2025","290,564",NL,,147,121,0.82,0,0,0,0,0
"noviembre 10, 2025","290,564",FI,,45,41,0.91,0,0,0,0,0
"noviembre 14, 2025","351,212",RS,,3,3,1,0,0,0,0,0
"noviembre 4, 2025","290,564",HN,,345,264,0.77,0,0,0,0,0
"noviembre 5, 2025","290,966",ES,,"77,943","60,058",0.77,0,0,0,0,0
"noviembre 23, 2025","291,359",SA,,96,89,0.93,0,0,0,0,0
"noviembre 5, 2025","290,997",SI,,1,1,1,0,0,0,0,0
"noviembre 9, 2025","290,997",UA,,1,0,0,0,0,0,0,0
"noviembre 12, 2025","330,061",DE,,523,456,0.87,0,0,0,0,0
"noviembre 20, 2025","290,997",CO,,"2,585","1,289",0.5,0,0,0,0,0
"noviembre 7, 2025","290,966",BA,,15,14,0.93,0,0,0,0,0
"noviembre 17, 2025","290,564",CY,,152,122,0.8,0,0,0,0,0
"noviembre 15, 2025","291,359",GR,,21,21,1,0,0,0,0,0
"noviembre 11, 2025","351,212",EE,,2,2,1,0,0,0,0,0
"noviembre 24, 2025","290,564",MY,,11,9,0.82,0,0,0,0,0
"noviembre 14, 2025","290,564",RU,,678,541,0.8,0,0,0,0,0
"noviembre 24, 2025","290,966",TR,,373,292,0.78,0,0,0,0,0
"noviembre 7, 2025","351,212",DE,,"1,245",942,0.76,0,0,0,0,0
"noviembre 11, 2025","290,997",HU,,3,2,0.67,0,0,0,0,0
"noviembre 12, 2025","290,997",CY,,1,1,1,0,0,0,0,0
"noviembre 23, 2025","290,966",VE,,5,3,0.6,0,0,0,0,0
"noviembre 13, 2025","351,212",AD,,1,1,1,0,0,0,0,0
"noviembre 17, 2025","291,359",AE,,97,71,0.73,0,0,0,0,0
"noviembre 9, 2025","351,212",CH,,221,196,0.89,0,0,0,0,0
"noviembre 8, 2025","330,061",KZ,,12,4,0.33,0,0,0,0,0
"noviembre 1, 2025","330,061",AO,,4,4,1,0,0,0,0,0
"noviembre 20, 2025","290,564",DZ,,9,4,0.44,0,0,0,0,0
"noviembre 5, 2025","351,212",ME,,49,18,0.37,0,0,0,0,0
"noviembre 6, 2025","290,564",KR,,18,18,1,0,0,0,0,0
"noviembre 17, 2025","351,212",DO,,102,89,0.87,0,0,0,0,0
"noviembre 1, 2025","291,359",HN,,32,20,0.63,0,0,0,0,0
"noviembre 9, 2025","290,564",AE,,103,58,0.56,0,0,0,0,0
"noviembre 13, 2025","330,061",PT,,218,201,0.92,0,0,0,0,0
"noviembre 2, 2025","290,966",NO,,44,12,0.27,0,0,0,0,0
"noviembre 14, 2025","290,966",PH,,23,23,1,0,0,0,0,0
"noviembre 18, 2025","290,966",GT,,"1,237",922,0.75,0,0,0,0,0
"noviembre 6, 2025","330,061",MY,,6,6,1,0,0,0,0,0
"noviembre 24, 2025","290,966",IT,,766,682,0.89,0,0,0,0,0
"noviembre 7, 2025","290,564",PR,,5,2,0.4,0,0,0,0,0
"noviembre 14, 2025","290,966",PE,,352,336,0.95,0,0,0,0,0
"noviembre 22, 2025","291,359",TR,,403,345,0.86,0,0,0,0,0
"noviembre 13, 2025","290,564",QA,,3,1,0.33,0,0,0,0,0
"noviembre 20, 2025","291,359",LT,,30,29,0.97,0,0,0,0,0
"noviembre 16, 2025","351,212",US,,"94,791","83,123",0.88,0,0,0,0,0
"noviembre 26, 2025","291,359",UZ,,97,55,0.57,0,0,0,0,0
"noviembre 10, 2025","290,564",AU,,93,79,0.85,0,0,0,0,0
"noviembre 20, 2025","290,997",MC,,4,2,0.5,0,0,0,0,0
"noviembre 7, 2025","291,359",GT,,"2,263","1,221",0.54,0,0,0,0,0
"noviembre 25, 2025","290,997",JP,,106,80,0.75,0,0,0,0,0
"noviembre 4, 2025","330,061",AT,,43,33,0.77,0,0,0,0,0
"noviembre 6, 2025","290,966",HU,,18,12,0.67,0,0,0,0,0
"noviembre 25, 2025","330,061",NZ,,6,6,1,0,0,0,0,0
"noviembre 22, 2025","291,359",BS,,3,3,1,0,0,0,0,0
"noviembre 17, 2025","290,564",BE,,44,30,0.68,0,0,0,0,0
"noviembre 10, 2025","290,564",LB,,82,3,0.04,0,0,0,0,0
"noviembre 12, 2025","290,997",mx,,3,3,1,2,"1,090",66.7,5,3
"noviembre 14, 2025","290,997",VN,,2,2,1,0,0,0,0,0
"noviembre 2, 2025","290,966",PA,,5,2,0.4,0,0,0,0,0
"noviembre 12, 2025","351,212",UM,,1,1,1,0,0,0,0,0
"noviembre 26, 2025","330,061",VE,,118,35,0.3,0,0,0,0,0
"noviembre 19, 2025","351,212",UA,,11,8,0.73,0,0,0,0,0
"noviembre 20, 2025","351,212",KZ,,16,14,0.88,0,0,0,0,0
"noviembre 15, 2025","290,997",NO,,92,45,0.49,0,0,0,0,0
"noviembre 16, 2025","290,966",MD,,1,1,1,0,0,0,0,0
"noviembre 9, 2025","290,997",GT,,380,124,0.33,0,0,0,0,0
"noviembre 8, 2025","330,061",KW,,4,4,1,0,0,0,0,0
"noviembre 6, 2025","290,564",PE,,575,264,0.46,0,0,0,0,0
"noviembre 8, 2025","290,564",NG,,23,23,1,0,0,0,0,0
"noviembre 20, 2025","351,212",TR,,240,225,0.94,0,0,0,0,0
"noviembre 9, 2025","351,212",TR,,267,202,0.76,0,0,0,0,0
"noviembre 3, 2025","290,564",US,,"82,234","33,501",0.41,0,0,0,0,0
"noviembre 20, 2025","290,966",MU,,1,1,1,0,0,0,0,0
"noviembre 5, 2025","291,359",UG,,1,1,1,0,0,0,0,0
"noviembre 22, 2025","290,997",HU,,2,2,1,0,0,0,0,0
"noviembre 22, 2025","290,966",AR,,721,656,0.91,0,0,0,0,0
"noviembre 15, 2025","330,061",GB,,"3,251","3,013",0.93,0,0,0,0,0
"noviembre 10, 2025","290,966",HU,,9,7,0.78,0,0,0,0,0
"noviembre 11, 2025","330,061",DK,,18,18,1,0,0,0,0,0
"noviembre 22, 2025","330,061",CH,,37,36,0.97,0,0,0,0,0
"noviembre 24, 2025","291,359",CA,,"4,542","3,619",0.8,0,0,0,0,0
"noviembre 1, 2025","290,966",KG,,6,6,1,0,0,0,0,0
"noviembre 24, 2025","290,997",PY,,264,171,0.65,0,0,0,0,0
"noviembre 23, 2025","330,061",IT,,310,254,0.82,0,0,0,0,0
"noviembre 7, 2025","290,966",OM,,2,2,1,0,0,0,0,0
"noviembre 12, 2025","290,997",MX,,"53,682","34,641",0.65,2,"1,090",0,5,3
"noviembre 5, 2025","290,966",FR,,915,684,0.75,0,0,0,0,0
"noviembre 24, 2025","290,997",MU,,2,1,0.5,0,0,0,0,0
"noviembre 24, 2025","290,997",GB,,"10,344","7,231",0.7,0,0,0,0,0
"noviembre 26, 2025","290,997",DK,,67,27,0.4,0,0,0,0,0
"noviembre 20, 2025","290,564",MA,,22,10,0.45,0,0,0,0,0
"noviembre 13, 2025","291,359",KZ,,27,15,0.56,0,0,0,0,0
"noviembre 16, 2025","291,359",NO,,75,45,0.6,0,0,0,0,0
"noviembre 26, 2025","290,997",EC,,169,43,0.25,0,0,0,0,0
"noviembre 26, 2025","291,359",EC,,200,95,0.48,0,0,0,0,0
"noviembre 12, 2025","351,212",MT,,8,1,0.13,0,0,0,0,0
"noviembre 16, 2025","290,997",MT,,6,1,0.17,0,0,0,0,0
"noviembre 12, 2025","330,061",AE,,17,12,0.71,0,0,0,0,0
"noviembre 10, 2025","351,212",RS,,38,35,0.92,0,0,0,0,0
"noviembre 11, 2025","351,212",HK,,109,86,0.79,0,0,0,0,0
"noviembre 6, 2025","351,212",PE,,615,432,0.7,0,0,0,0,0
"noviembre 4, 2025","290,966",AZ,,4,1,0.25,0,0,0,0,0
"noviembre 16, 2025","330,061",RS,,1,1,1,0,0,0,0,0
"noviembre 5, 2025","290,997",PT,,549,453,0.83,0,0,0,0,0
"noviembre 19, 2025","290,564",TJ,,2,0,0,0,0,0,0,0
"noviembre 11, 2025","290,564",NL,,334,239,0.72,0,0,0,0,0
"noviembre 23, 2025","351,212",PT,,402,372,0.93,0,0,0,0,0
"noviembre 17, 2025","290,966",BZ,,10,10,1,0,0,0,0,0
"noviembre 12, 2025","351,212",BE,,44,35,0.8,0,0,0,0,0
"noviembre 25, 2025","291,359",DK,,96,57,0.59,0,0,0,0,0
"noviembre 2, 2025","351,212",BO,,17,17,1,0,0,0,0,0
"noviembre 11, 2025","351,212",GP,,1,1,1,0,0,0,0,0
"noviembre 11, 2025","290,966",MC,,3,3,1,0,0,0,0,0
"noviembre 11, 2025","351,212",hn,,1,1,1,0,0,0,0,0
"noviembre 25, 2025","290,564",BA,,3,3,1,0,0,0,0,0
"noviembre 11, 2025","351,212",HN,,247,217,0.88,0,0,0,0,0
"noviembre 4, 2025","290,564",FR,,470,305,0.65,0,0,0,0,0
"noviembre 26, 2025","351,212",ID,,18,17,0.94,0,0,0,0,0
"noviembre 5, 2025","291,359",SK,,5,2,0.4,0,0,0,0,0
"noviembre 17, 2025","330,061",TR,,15,15,1,0,0,0,0,0
"noviembre 19, 2025","290,966",CZ,,28,21,0.75,0,0,0,0,0
"noviembre 25, 2025","290,997",SM,,9,9,1,0,0,0,0,0
"noviembre 11, 2025","290,997",SK,,3,3,1,0,0,0,0,0
"noviembre 10, 2025","290,997",AZ,,1,0,0,0,0,0,0,0
"noviembre 17, 2025","291,359",NG,,9,3,0.33,0,0,0,0,0
"noviembre 16, 2025","330,061",HU,,3,3,1,0,0,0,0,0
"noviembre 9, 2025","290,997",IR,,26,8,0.31,0,0,0,0,0
"noviembre 1, 2025","290,997",HR,,9,2,0.22,0,0,0,0,0
"noviembre 22, 2025","290,966",IT,,440,389,0.88,0,0,0,0,0
"noviembre 22, 2025","330,061",FI,,26,23,0.88,0,0,0,0,0
"noviembre 5, 2025","330,061",SE,,55,48,0.87,0,0,0,0,0
"noviembre 23, 2025","290,997",FI,,39,26,0.67,0,0,0,0,0
"noviembre 4, 2025","330,061",PT,,250,248,0.99,0,0,0,0,0
"noviembre 23, 2025","351,212",RO,,14,12,0.86,0,0,0,0,0
"noviembre 17, 2025","330,061",HN,,97,90,0.93,0,0,0,0,0
"noviembre 7, 2025","351,212",JP,,146,138,0.95,0,0,0,0,0
"noviembre 9, 2025","290,997",LT,,1,0,0,0,0,0,0,0
"noviembre 20, 2025","291,359",KR,,52,50,0.96,0,0,0,0,0
"noviembre 10, 2025","290,997",GR,,37,17,0.46,0,0,0,0,0
"noviembre 16, 2025","330,061",MX,,"17,816","16,173",0.91,0,0,0,0,0
"noviembre 8, 2025","290,564",MU,,1,0,0,0,0,0,0,0
"noviembre 10, 2025","290,997",FI,,45,18,0.4,0,0,0,0,0
"noviembre 21, 2025","290,997",NL,,651,447,0.69,0,0,0,0,0
"noviembre 2, 2025","290,966",AU,,36,26,0.72,0,0,0,0,0
"noviembre 15, 2025","290,997",MX,,"58,229","35,076",0.6,0,0,0,0,0
"noviembre 19, 2025","290,997",ZA,,7,0,0,0,0,0,0,0
"noviembre 18, 2025","290,966",AR,,"1,734","1,666",0.96,0,0,0,0,0
"noviembre 2, 2025","330,061",CA,,"5,999","5,768",0.96,0,0,0,0,0
"noviembre 16, 2025","290,966",AT,,70,67,0.96,0,0,0,0,0
"noviembre 16, 2025","290,966",CA,,"5,457","4,768",0.87,0,0,0,0,0
"noviembre 20, 2025","351,212",BA,,8,8,1,0,0,0,0,0
"noviembre 1, 2025","290,997",HK,,140,127,0.91,0,0,0,0,0
"noviembre 2, 2025","290,564",GR,,12,12,1,0,0,0,0,0
"noviembre 5, 2025","330,061",GR,,9,8,0.89,0,0,0,0,0
"noviembre 4, 2025","351,212",IR,,12,10,0.83,0,0,0,0,0
"noviembre 11, 2025","290,997",UA,,22,21,0.95,0,0,0,0,0
"noviembre 1, 2025","290,966",LU,,3,2,0.67,0,0,0,0,0
"noviembre 17, 2025","290,997",JP,,98,75,0.77,0,0,0,0,0
"noviembre 26, 2025","290,564",VE,,117,28,0.24,0,0,0,0,0
"noviembre 19, 2025","290,997",JM,,2,0,0,0,0,0,0,0
"noviembre 21, 2025","290,564",BE,,35,27,0.77,0,0,0,0,0
"noviembre 10, 2025","290,997",AD,,5,0,0,0,0,0,0,0
"noviembre 2, 2025","291,359",UY,,185,185,1,0,0,0,0,0
"noviembre 21, 2025","291,359",SK,,2,2,1,0,0,0,0,0
"noviembre 15, 2025","290,997",mx,,5,5,1,0,0,0,0,0
"noviembre 10, 2025","291,359",IE,,87,71,0.82,0,0,0,0,0
"noviembre 13, 2025","330,061",KZ,,14,13,0.93,0,0,0,0,0
