eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 2, 2025","290,966",EE,,4,0,0,0,0,0,0,0
"noviembre 18, 2025","291,359",UA,,9,7,0.78,0,0,0,0,0
"noviembre 1, 2025","290,564",CH,,28,19,0.68,0,0,0,0,0
"noviembre 10, 2025","330,061",VE,,12,12,1,0,0,0,0,0
"noviembre 1, 2025","291,359",KG,,1,1,1,0,0,0,0,0
"noviembre 11, 2025","290,997",IT,,877,651,0.74,0,0,0,0,0
"noviembre 9, 2025","290,966",RS,,76,72,0.95,0,0,0,0,0
"noviembre 8, 2025","291,359",AU,,159,134,0.84,0,0,0,0,0
"noviembre 15, 2025","290,966",CZ,,83,79,0.95,0,0,0,0,0
"noviembre 21, 2025","290,997",PR,,6,2,0.33,0,0,0,0,0
"noviembre 21, 2025","351,212",KZ,,9,9,1,0,0,0,0,0
"noviembre 25, 2025","291,359",sv,,5,4,0.8,0,0,0,0,0
"noviembre 12, 2025","290,966",ZA,,22,21,0.95,0,0,0,0,0
"noviembre 10, 2025","290,564",CL,,871,705,0.81,0,0,0,0,0
"noviembre 21, 2025","330,061",BG,,6,6,1,0,0,0,0,0
"noviembre 18, 2025","330,061",PY,,18,0,0,0,0,0,0,0
"noviembre 6, 2025","290,966",NZ,,34,27,0.79,0,0,0,0,0
"noviembre 12, 2025","290,997",QA,,3,1,0.33,0,0,0,0,0
"noviembre 9, 2025","290,997",PH,,8,7,0.88,0,0,0,0,0
"noviembre 1, 2025","290,997",QA,,3,3,1,0,0,0,0,0
"noviembre 18, 2025","290,997",EE,,40,40,1,0,0,0,0,0
"noviembre 19, 2025","351,212",PR,,1,1,1,0,0,0,0,0
"noviembre 19, 2025","290,966",RU,,621,538,0.87,0,0,0,0,0
"noviembre 23, 2025","351,212",IT,,563,527,0.94,0,0,0,0,0
"noviembre 14, 2025","290,564",MT,,3,3,1,0,0,0,0,0
"noviembre 17, 2025","290,997",CD,,1,1,1,0,0,0,0,0
"noviembre 18, 2025","290,966",AS,,2,2,1,0,0,0,0,0
"noviembre 5, 2025","330,061",PH,,2,2,1,0,0,0,0,0
"noviembre 11, 2025","351,212",IR,,5,2,0.4,0,0,0,0,0
"noviembre 21, 2025","330,061",IR,,3,0,0,0,0,0,0,0
"noviembre 25, 2025","351,212",AZ,,42,42,1,0,0,0,0,0
"noviembre 13, 2025","290,966",hn,,1,1,1,0,0,0,0,0
"noviembre 25, 2025","290,564",sv,,5,5,1,0,0,0,0,0
